FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-2.0,15.0,22.0,35.0,-5.0,18.62,22.87,-0.13,-0.02,-3.65,8.49,2023-11-28 20:14:23,2,3
10.0,15.0,21.0,31.0,-8.0,18.75,22.81,0.0,0.04,-3.44,8.62,2023-11-28 20:14:23,2,3
10.0,14.0,21.0,32.0,-4.0,18.56,23.0,0.04,0.08,-3.59,8.58,2023-11-28 20:14:23,2,3
10.0,16.0,21.0,32.0,-8.0,18.37,23.0,0.07,0.02,-3.54,8.69,2023-11-28 20:14:23,2,3
9.0,15.0,21.0,31.0,-6.0,18.25,23.12,-0.04,0.03,-3.56,8.64,2023-11-28 20:14:23,2,3
9.0,15.0,21.0,31.0,-11.0,18.37,23.19,-0.04,0.01,-3.6,8.63,2023-11-28 20:14:23,2,3
9.0,15.0,21.0,31.0,27.0,18.44,23.19,-0.05,0.01,-3.6,8.67,2023-11-28 20:14:23,2,3
10.0,16.0,21.0,31.0,-6.0,18.62,23.19,-0.01,0.01,-3.57,8.65,2023-11-28 20:14:23,2,3
9.0,15.0,20.0,30.0,-11.0,18.62,23.25,0.01,0.02,-3.6,8.58,2023-11-28 20:14:23,2,3
9.0,16.0,21.0,30.0,-8.0,18.12,23.31,0.28,0.1,-3.58,8.58,2023-11-28 20:14:23,2,3
9.0,23.0,20.0,29.0,-25.0,17.0,23.81,0.31,0.08,-3.95,8.66,2023-11-28 20:14:23,2,3
13.0,32.0,28.0,40.0,61.0,16.12,24.44,0.41,0.14,-3.77,8.71,2023-11-28 20:14:23,2,3
-23.0,96.0,43.0,70.0,6.0,13.88,26.06,0.78,0.15,-4.21,9.27,2023-11-28 20:14:23,2,3
33.0,89.0,51.0,98.0,-18.0,12.13,27.94,0.43,0.24,-4.74,8.62,2023-11-28 20:14:23,2,3
44.0,100.0,56.0,106.0,78.0,11.31,29.94,0.07,-0.11,-4.55,8.06,2023-11-28 20:14:23,2,3
43.0,94.0,54.0,103.0,14.0,11.56,30.62,0.01,-0.05,-4.93,8.19,2023-11-28 20:14:23,2,3
41.0,85.0,49.0,92.0,0.0,11.06,30.25,0.22,0.12,-4.63,8.0,2023-11-28 20:14:24,2,3
106.0,63.0,44.0,70.0,101.0,10.25,29.06,0.3,0.32,-4.56,8.46,2023-11-28 20:14:24,2,3
-46.0,43.0,30.0,42.0,-2.0,7.5,27.87,0.82,0.53,-4.54,8.85,2023-11-28 20:14:24,2,3
-15.0,34.0,24.0,32.0,23.0,4.62,28.06,0.76,0.31,-4.56,9.02,2023-11-28 20:14:24,2,3
-19.0,32.0,22.0,29.0,-7.0,2.06,29.19,0.95,0.39,-4.89,8.95,2023-11-28 20:14:24,2,3
-23.0,42.0,25.0,31.0,-22.0,-1.37,30.87,0.95,0.38,-4.92,8.34,2023-11-28 20:14:24,2,3
-33.0,34.0,32.0,40.0,-2.0,-4.5,32.44,1.28,0.32,-5.01,8.25,2023-11-28 20:14:24,2,3
39.0,47.0,44.0,58.0,1.0,-9.31,34.75,1.79,0.53,-5.59,7.95,2023-11-28 20:14:24,2,3
-16.0,60.0,48.0,70.0,10.0,-14.31,36.81,1.57,0.55,-5.91,8.28,2023-11-28 20:14:24,2,3
-30.0,65.0,50.0,76.0,12.0,-17.19,38.5,0.53,0.03,-5.68,7.4,2023-11-28 20:14:24,2,3
-7.0,66.0,51.0,81.0,8.0,-17.62,39.38,0.14,0.06,-5.8,7.21,2023-11-28 20:14:24,2,3
-48.0,62.0,46.0,70.0,-19.0,-18.19,39.88,-0.04,0.29,-6.4,7.43,2023-11-28 20:14:24,2,3
-69.0,54.0,42.0,60.0,31.0,-17.75,39.13,-0.56,0.05,-5.9,7.2,2023-11-28 20:14:24,2,3
-73.0,41.0,34.0,46.0,0.0,-16.19,37.5,-0.55,-0.1,-5.79,7.22,2023-11-28 20:14:24,2,3
-95.0,32.0,26.0,38.0,-24.0,-14.75,35.5,-0.58,-0.28,-5.47,7.96,2023-11-28 20:14:24,2,3
-96.0,29.0,24.0,36.0,33.0,-12.19,34.19,-0.92,-0.53,-5.41,8.21,2023-11-28 20:14:24,2,3
-95.0,26.0,24.0,35.0,-6.0,-8.19,32.81,-1.11,-0.66,-5.43,8.5,2023-11-28 20:14:24,2,3
-99.0,29.0,29.0,40.0,-26.0,-4.31,31.5,-1.33,-0.7,-4.83,8.29,2023-11-28 20:14:25,2,3
-98.0,43.0,40.0,62.0,68.0,0.88,30.37,-1.2,-0.68,-4.88,8.4,2023-11-28 20:14:25,2,3
-8.0,60.0,50.0,82.0,12.0,3.75,30.31,-0.54,-0.35,-4.82,8.73,2023-11-28 20:14:25,2,3
-93.0,70.0,51.0,87.0,-2.0,5.31,30.69,-0.39,-0.3,-4.95,8.74,2023-11-28 20:14:25,2,3
-92.0,67.0,48.0,81.0,6.0,7.19,30.87,-0.53,-0.32,-5.0,8.35,2023-11-28 20:14:25,2,3
-96.0,56.0,44.0,70.0,6.0,8.81,30.25,-0.38,-0.22,-4.68,7.97,2023-11-28 20:14:25,2,3
-24.0,38.0,34.0,53.0,1.0,10.25,28.75,-0.47,-0.12,-4.72,8.45,2023-11-28 20:14:25,2,3
-78.0,23.0,26.0,38.0,3.0,11.25,27.19,-0.22,-0.25,-4.1,8.68,2023-11-28 20:14:25,2,3
-93.0,19.0,23.0,35.0,-2.0,12.13,26.12,-0.03,-0.04,-4.05,8.98,2023-11-28 20:14:25,2,3
-101.0,18.0,23.0,34.0,-15.0,11.56,26.0,0.3,0.14,-4.17,8.77,2023-11-28 20:14:25,2,3
-89.0,29.0,29.0,41.0,0.0,10.5,26.5,0.23,0.11,-4.11,8.79,2023-11-28 20:14:25,2,3
-91.0,45.0,40.0,61.0,4.0,10.31,27.0,-0.11,-0.07,-4.46,8.69,2023-11-28 20:14:25,2,3
-100.0,58.0,45.0,74.0,10.0,10.75,27.62,-0.11,-0.1,-4.45,8.59,2023-11-28 20:14:25,2,3
-96.0,55.0,45.0,75.0,7.0,11.19,28.06,-0.06,-0.11,-4.36,8.36,2023-11-28 20:14:25,2,3
-101.0,49.0,39.0,64.0,-23.0,11.0,27.87,0.25,0.11,-4.62,8.54,2023-11-28 20:14:25,2,3
-100.0,37.0,31.0,48.0,38.0,9.0,27.56,0.6,0.51,-4.61,8.76,2023-11-28 20:14:25,2,3
-20.0,28.0,24.0,35.0,-6.0,6.31,27.44,0.92,0.52,-4.35,8.92,2023-11-28 20:14:25,2,3
-13.0,25.0,23.0,32.0,-23.0,2.75,27.94,1.06,0.56,-4.46,8.8,2023-11-28 20:14:25,2,3
-11.0,24.0,22.0,31.0,10.0,-1.81,29.37,1.76,0.96,-4.87,8.74,2023-11-28 20:14:26,2,3
-9.0,29.0,27.0,36.0,-5.0,-8.44,31.81,1.79,0.87,-4.99,8.64,2023-11-28 20:14:26,2,3
-9.0,43.0,38.0,54.0,-4.0,-14.5,34.69,1.5,0.75,-5.54,8.18,2023-11-28 20:14:26,2,3
-61.0,59.0,46.0,71.0,52.0,-17.94,36.88,1.09,0.3,-5.57,7.37,2023-11-28 20:14:26,2,3
-87.0,66.0,50.0,78.0,12.0,-17.81,37.69,-0.5,-0.34,-5.51,7.01,2023-11-28 20:14:26,2,3
-98.0,60.0,47.0,68.0,1.0,-16.44,37.31,-0.32,-0.05,-5.67,7.49,2023-11-28 20:14:26,2,3
-94.0,56.0,41.0,59.0,22.0,-15.69,36.06,-0.52,-0.07,-5.57,7.81,2023-11-28 20:14:26,2,3
-97.0,41.0,30.0,46.0,-1.0,-13.0,33.88,-1.23,-0.36,-5.49,8.26,2023-11-28 20:14:26,2,3
-101.0,32.0,23.0,36.0,-20.0,-8.19,30.5,-1.48,-0.49,-4.59,8.01,2023-11-28 20:14:26,2,3
