FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-97.0,24.0,23.0,37.0,-15.0,-1.75,19.75,0.04,-0.01,-3.24,9.34,2023-11-28 20:16:46,3,3
-79.0,30.0,23.0,41.0,85.0,-1.81,19.94,0.02,-0.02,-3.23,9.24,2023-11-28 20:16:46,3,3
-84.0,28.0,24.0,46.0,-2.0,-1.87,20.06,0.02,-0.02,-3.31,9.18,2023-11-28 20:16:46,3,3
-97.0,31.0,25.0,49.0,-7.0,-1.87,20.19,-0.01,-0.03,-3.31,9.22,2023-11-28 20:16:46,3,3
-82.0,30.0,26.0,49.0,-4.0,-1.87,20.19,0.03,0.01,-3.35,9.34,2023-11-28 20:16:46,3,3
-94.0,31.0,27.0,51.0,-40.0,-2.19,20.12,0.17,0.04,-3.28,9.29,2023-11-28 20:16:46,3,3
-93.0,31.0,26.0,51.0,173.0,-2.69,20.37,0.15,0.0,-3.35,9.32,2023-11-28 20:16:46,3,3
-84.0,29.0,26.0,48.0,-3.0,-3.0,20.62,0.06,-0.03,-3.32,9.15,2023-11-28 20:16:46,3,3
-91.0,32.0,28.0,51.0,-38.0,-3.12,20.94,0.04,-0.05,-3.46,9.22,2023-11-28 20:16:46,3,3
-97.0,42.0,32.0,58.0,23.0,-3.06,21.12,-0.0,-0.09,-3.37,9.08,2023-11-28 20:16:47,3,3
-75.0,63.0,38.0,72.0,0.0,-2.44,21.37,-0.31,-0.25,-3.51,9.31,2023-11-28 20:16:47,3,3
-81.0,66.0,44.0,87.0,15.0,-0.44,21.56,-0.96,-0.49,-3.57,9.2,2023-11-28 20:16:47,3,3
-97.0,72.0,48.0,94.0,14.0,3.06,21.5,-0.93,-0.39,-3.51,9.17,2023-11-28 20:16:47,3,3
-82.0,72.0,47.0,98.0,5.0,5.25,21.5,-0.29,-0.11,-3.33,9.09,2023-11-28 20:16:47,3,3
-97.0,68.0,43.0,88.0,-22.0,4.87,21.56,0.38,0.34,-3.55,9.08,2023-11-28 20:16:47,3,3
-74.0,58.0,36.0,68.0,23.0,2.62,21.37,0.81,0.41,-3.46,9.24,2023-11-28 20:16:47,3,3
-84.0,46.0,30.0,48.0,2.0,-0.94,22.25,2.1,0.65,-3.52,8.93,2023-11-28 20:16:47,3,3
-97.0,44.0,27.0,37.0,-21.0,-9.88,25.12,2.73,0.93,-4.23,9.15,2023-11-28 20:16:47,3,3
-89.0,41.0,26.0,36.0,118.0,-16.94,27.81,2.08,0.62,-4.3,8.44,2023-11-28 20:16:47,3,3
-86.0,43.0,31.0,40.0,-4.0,-22.19,30.56,1.01,0.33,-4.48,7.83,2023-11-28 20:16:47,3,3
