FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-101.0,10.0,29.0,39.0,-12.0,5.94,22.94,-0.34,-0.39,-3.63,9.28,2023-11-28 19:45:40,3,1
199.0,10.0,31.0,42.0,11.0,7.31,22.75,-0.4,-0.21,-3.73,8.9,2023-11-28 19:45:40,3,1
-36.0,13.0,35.0,45.0,-25.0,8.25,22.25,-0.22,-0.14,-3.8,8.89,2023-11-28 19:45:40,3,1
-101.0,16.0,37.0,47.0,-3.0,8.81,21.31,-0.04,-0.06,-2.98,8.32,2023-11-28 19:45:40,3,1
47.0,17.0,36.0,46.0,6.0,8.06,20.87,0.15,0.17,-3.36,8.55,2023-11-28 19:45:40,3,1
-45.0,14.0,35.0,45.0,4.0,7.81,19.94,-0.01,0.11,-3.12,9.22,2023-11-28 19:45:40,3,1
-101.0,9.0,33.0,41.0,-28.0,8.25,19.31,-0.19,0.09,-3.2,9.82,2023-11-28 19:45:40,3,1
-20.0,13.0,35.0,42.0,254.0,8.69,19.37,-0.13,-0.01,-3.24,9.58,2023-11-28 19:45:40,3,1
-33.0,44.0,47.0,54.0,-5.0,10.13,20.25,-0.66,-0.33,-3.38,9.07,2023-11-28 19:45:40,3,1
-95.0,77.0,61.0,66.0,169.0,13.63,21.37,-1.0,-0.98,-3.13,8.64,2023-11-28 19:45:40,3,1
-70.0,96.0,65.0,68.0,5.0,18.75,22.75,-1.48,-1.37,-3.55,8.55,2023-11-28 19:45:40,3,1
-99.0,103.0,71.0,70.0,-28.0,23.75,25.06,-1.4,-1.13,-3.73,7.75,2023-11-28 19:45:40,3,1
-98.0,103.0,69.0,71.0,82.0,29.37,26.69,-1.51,-0.86,-3.69,6.48,2023-11-28 19:45:40,3,1
-93.0,101.0,67.0,72.0,6.0,33.5,27.69,-0.66,-0.55,-3.78,7.26,2023-11-28 19:45:40,3,1
-97.0,102.0,68.0,71.0,-23.0,34.63,27.87,-0.23,-0.37,-3.31,6.77,2023-11-28 19:45:40,3,1
-101.0,103.0,67.0,72.0,17.0,34.88,28.44,0.18,-0.19,-3.74,6.86,2023-11-28 19:45:40,3,1
-93.0,97.0,64.0,68.0,4.0,34.63,28.56,0.08,0.17,-3.34,6.99,2023-11-28 19:45:41,3,1
-98.0,96.0,62.0,66.0,-27.0,34.06,29.69,0.15,0.51,-3.4,6.95,2023-11-28 19:45:41,3,1
-95.0,84.0,59.0,62.0,126.0,30.44,33.06,1.2,1.67,-4.15,6.97,2023-11-28 19:45:41,3,1
-29.0,44.0,51.0,62.0,5.0,23.75,35.19,1.95,2.8,-4.14,6.33,2023-11-28 19:45:41,3,1
-99.0,14.0,40.0,58.0,-2.0,8.19,34.69,3.68,3.21,-5.26,7.96,2023-11-28 19:45:41,3,1
79.0,4.0,31.0,45.0,2.0,-3.5,33.19,2.78,2.43,-5.21,8.46,2023-11-28 19:45:41,3,1
-54.0,3.0,29.0,43.0,0.0,-11.5,32.19,1.15,0.84,-5.06,7.9,2023-11-28 19:45:41,3,1
-102.0,4.0,28.0,41.0,-39.0,-12.63,30.69,-0.26,0.16,-4.49,8.08,2023-11-28 19:45:41,3,1
30.0,23.0,37.0,57.0,316.0,-11.56,30.06,-0.19,-0.15,-4.74,8.71,2023-11-28 19:45:41,3,1
-35.0,47.0,47.0,72.0,-3.0,-9.94,30.0,-0.83,-0.51,-5.01,9.04,2023-11-28 19:45:41,3,1
-100.0,64.0,54.0,73.0,-25.0,-4.62,30.12,-1.67,-1.12,-4.98,8.33,2023-11-28 19:45:41,3,1
-17.0,76.0,56.0,67.0,7.0,2.56,29.62,-1.93,-1.34,-4.6,8.18,2023-11-28 19:45:41,3,1
