FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
19.0,6.0,25.0,41.0,45.0,25.87,42.25,0.02,0.02,-5.88,6.51,2023-11-28 19:58:41,2,2
19.0,5.0,25.0,41.0,1.0,25.87,42.31,-0.01,0.02,-5.89,6.63,2023-11-28 19:58:41,2,2
-84.0,5.0,25.0,41.0,90.0,25.62,42.63,0.05,0.13,-5.96,6.47,2023-11-28 19:58:41,2,2
-80.0,5.0,25.0,40.0,-9.0,25.37,42.88,0.03,0.1,-5.94,6.44,2023-11-28 19:58:41,2,2
-98.0,5.0,25.0,41.0,-33.0,25.12,43.0,0.02,0.04,-6.12,6.64,2023-11-28 19:58:41,2,2
-82.0,5.0,26.0,41.0,279.0,25.0,43.25,0.03,0.09,-6.12,6.66,2023-11-28 19:58:41,2,2
-49.0,5.0,26.0,41.0,-9.0,24.69,43.69,0.05,0.15,-6.08,6.51,2023-11-28 19:58:41,2,2
-72.0,5.0,26.0,41.0,-50.0,24.12,44.31,0.22,0.15,-6.27,6.53,2023-11-28 19:58:41,2,2
-81.0,5.0,25.0,41.0,57.0,22.94,45.38,0.53,0.39,-6.5,6.52,2023-11-28 19:58:41,2,2
-42.0,6.0,26.0,41.0,-14.0,19.06,46.5,1.37,1.14,-6.84,6.52,2023-11-28 19:58:41,2,2
-84.0,7.0,27.0,44.0,-59.0,13.06,48.56,1.53,1.11,-7.03,6.53,2023-11-28 19:58:41,2,2
-26.0,14.0,33.0,49.0,26.0,6.12,51.81,2.17,1.37,-7.97,6.25,2023-11-28 19:58:41,2,2
-70.0,30.0,44.0,56.0,12.0,-1.37,54.81,2.48,1.8,-8.4,5.76,2023-11-28 19:58:41,2,2
-101.0,11.0,32.0,50.0,-51.0,18.87,47.56,0.03,-0.0,-6.82,6.36,2023-11-28 19:58:43,2,2
-90.0,11.0,31.0,51.0,0.0,18.81,47.56,0.03,0.01,-6.83,6.35,2023-11-28 19:58:43,2,2
-93.0,11.0,31.0,50.0,1.0,18.69,47.63,0.1,0.03,-6.85,6.42,2023-11-28 19:58:43,2,2
-101.0,21.0,37.0,55.0,-22.0,17.81,47.81,0.43,0.13,-6.86,6.31,2023-11-28 19:58:43,2,2
-85.0,29.0,42.0,57.0,269.0,16.81,48.31,0.34,0.22,-6.75,6.14,2023-11-28 19:58:43,2,2
-91.0,31.0,43.0,57.0,-3.0,15.19,48.94,0.37,0.35,-7.07,6.22,2023-11-28 19:58:43,2,2
-101.0,30.0,41.0,55.0,-58.0,13.19,49.38,0.73,0.71,-7.26,6.2,2023-11-28 19:58:44,2,2
-76.0,27.0,38.0,50.0,89.0,8.19,49.94,1.36,1.38,-7.46,6.3,2023-11-28 19:58:44,2,2
-72.0,22.0,36.0,45.0,8.0,0.5,50.69,1.75,1.75,-7.58,6.5,2023-11-28 19:58:44,2,2
-95.0,24.0,37.0,44.0,-20.0,-5.81,52.38,1.46,1.58,-7.73,6.3,2023-11-28 19:58:44,2,2
-66.0,46.0,50.0,59.0,-5.0,-11.56,54.81,0.77,1.13,-7.81,5.64,2023-11-28 19:58:44,2,2
-72.0,66.0,58.0,73.0,-52.0,-14.56,56.44,0.52,0.69,-8.12,5.4,2023-11-28 19:58:44,2,2
-89.0,86.0,62.0,85.0,34.0,-16.19,58.38,0.08,0.15,-8.41,5.3,2023-11-28 19:58:44,2,2
-75.0,92.0,64.0,94.0,-3.0,-15.31,59.31,-0.43,-0.37,-8.25,5.05,2023-11-28 19:58:44,2,2
-87.0,92.0,66.0,97.0,24.0,-13.44,59.06,-0.4,-0.41,-8.67,4.94,2023-11-28 19:58:44,2,2
19.0,86.0,63.0,91.0,-15.0,-11.5,58.5,-0.58,-0.66,-8.12,5.13,2023-11-28 19:58:44,2,2
17.0,78.0,61.0,89.0,-1.0,-7.5,57.06,-1.2,-0.93,-7.5,4.72,2023-11-28 19:58:44,2,2
17.0,37.0,52.0,74.0,-56.0,-2.81,54.56,-1.28,-1.06,-8.25,4.32,2023-11-28 19:58:44,2,2
17.0,18.0,42.0,56.0,175.0,1.56,50.25,-1.25,-0.97,-6.97,6.67,2023-11-28 19:58:44,2,2
19.0,8.0,35.0,47.0,4.0,7.44,47.69,-1.32,-1.28,-7.34,6.97,2023-11-28 19:58:44,2,2
17.0,7.0,35.0,45.0,-39.0,11.75,46.19,-0.81,-1.04,-6.64,6.95,2023-11-28 19:58:44,2,2
17.0,7.0,35.0,44.0,304.0,14.69,45.81,-0.36,-0.55,-6.96,7.1,2023-11-28 19:58:44,2,2
-7.0,13.0,39.0,50.0,-6.0,15.88,46.06,-0.15,-0.22,-6.31,6.28,2023-11-28 19:58:44,2,2
18.0,21.0,44.0,56.0,-52.0,15.63,46.75,0.23,0.13,-7.1,6.53,2023-11-28 19:58:44,2,2
-30.0,30.0,49.0,63.0,61.0,14.31,47.13,0.42,0.29,-6.85,6.59,2023-11-28 19:58:45,2,2
-82.0,43.0,52.0,76.0,2.0,13.06,47.63,0.29,0.32,-7.02,6.79,2023-11-28 19:58:45,2,2
-100.0,68.0,58.0,91.0,19.0,11.38,48.94,0.31,0.39,-7.46,6.68,2023-11-28 19:58:45,2,2
-86.0,89.0,62.0,100.0,3.0,10.5,50.06,0.01,0.15,-7.73,6.5,2023-11-28 19:58:45,2,2
-95.0,96.0,61.0,100.0,-50.0,10.06,51.31,0.09,0.11,-7.6,5.91,2023-11-28 19:58:45,2,2
-101.0,90.0,59.0,95.0,74.0,9.63,52.0,-0.01,0.18,-7.29,5.7,2023-11-28 19:58:45,2,2
-85.0,64.0,54.0,87.0,2.0,9.0,52.5,0.11,0.21,-7.12,5.49,2023-11-28 19:58:45,2,2
-86.0,28.0,47.0,68.0,19.0,7.94,52.44,0.25,0.43,-7.57,5.81,2023-11-28 19:58:45,2,2
-95.0,15.0,38.0,48.0,3.0,4.37,51.88,1.08,0.98,-8.13,6.85,2023-11-28 19:58:45,2,2
-71.0,11.0,34.0,41.0,-14.0,-1.25,52.5,1.49,1.29,-7.86,6.42,2023-11-28 19:58:45,2,2
-93.0,10.0,34.0,38.0,-52.0,-7.06,53.69,1.86,1.45,-7.63,5.8,2023-11-28 19:58:45,2,2
-40.0,16.0,34.0,39.0,218.0,-14.56,56.31,1.68,1.44,-8.01,5.75,2023-11-28 19:58:45,2,2
-54.0,29.0,43.0,44.0,-38.0,-20.12,59.13,0.96,0.88,-8.04,4.73,2023-11-28 19:58:45,2,2
-85.0,46.0,51.0,53.0,-1.0,-22.25,60.75,0.6,0.23,-7.7,4.32,2023-11-28 19:58:45,2,2
89.0,66.0,57.0,68.0,7.0,-22.81,62.0,0.19,-0.04,-8.05,4.21,2023-11-28 19:58:45,2,2
-21.0,84.0,60.0,80.0,10.0,-23.06,62.31,0.07,0.08,-8.22,4.6,2023-11-28 19:58:45,2,2
-88.0,93.0,62.0,87.0,-29.0,-22.94,62.69,-0.02,-0.12,-8.36,4.53,2023-11-28 19:58:45,2,2
-76.0,95.0,61.0,92.0,342.0,-22.19,62.5,-0.38,-0.18,-8.12,4.37,2023-11-28 19:58:45,2,2
25.0,87.0,59.0,87.0,-12.0,-21.0,62.25,-0.37,-0.26,-8.15,4.35,2023-11-28 19:58:46,2,2
27.0,62.0,56.0,79.0,40.0,-19.5,60.44,-0.82,-0.43,-7.64,4.14,2023-11-28 19:58:46,2,2
25.0,31.0,48.0,62.0,-7.0,-16.75,56.94,-0.74,-0.54,-7.81,5.05,2023-11-28 19:58:46,2,2
