FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
17.00,18.00,24.00,32.00,-2.00,24.25,40.19,0.04,0.03,-5.83,6.83,2023-11-28 20:01:46
-83.00,17.00,23.00,32.00,-17.00,24.12,40.19,0.03,0.01,-5.74,6.86,2023-11-28 20:01:46
15.00,25.00,30.00,41.00,-7.00,24.06,40.31,-0.00,-0.02,-5.74,6.87,2023-11-28 20:01:46
15.00,40.00,39.00,65.00,-35.00,24.19,40.63,-0.06,-0.01,-5.62,6.97,2023-11-28 20:01:46
17.00,57.00,46.00,84.00,14.00,24.44,41.50,-0.14,0.04,-5.93,6.86,2023-11-28 20:01:46
103.00,77.00,54.00,101.00,12.00,24.87,42.63,-0.40,0.12,-6.07,6.71,2023-11-28 20:01:46
-73.00,100.00,59.00,115.00,26.00,25.69,44.56,-0.33,0.05,-5.96,6.38,2023-11-28 20:01:46
-97.00,116.00,60.00,122.00,-2.00,26.12,46.81,-0.60,0.47,-6.53,5.59,2023-11-28 20:01:46
-87.00,114.00,59.00,126.00,7.00,25.06,48.38,0.15,0.69,-6.07,5.57,2023-11-28 20:01:46
-100.00,120.00,59.00,123.00,-38.00,23.37,49.25,-0.05,0.46,-6.52,5.41,2023-11-28 20:01:46
-99.00,109.00,56.00,114.00,237.00,22.94,49.50,-0.02,0.15,-6.42,5.28,2023-11-28 20:01:46
-93.00,85.00,53.00,102.00,11.00,21.31,48.94,0.72,0.11,-7.55,5.88,2023-11-28 20:01:46
-101.00,43.00,41.00,70.00,-44.00,20.06,45.88,0.21,0.23,-6.55,6.36,2023-11-28 20:01:47
-92.00,25.00,33.00,48.00,249.00,19.69,42.88,0.15,-0.18,-6.47,7.19,2023-11-28 20:01:47
-89.00,23.00,30.00,43.00,-7.00,19.81,41.50,0.07,-0.19,-6.11,7.30,2023-11-28 20:01:47
-98.00,44.00,35.00,49.00,-49.00,20.12,41.13,-0.07,-0.20,-5.89,7.32,2023-11-28 20:01:47
-101.00,73.00,44.00,74.00,101.00,20.62,41.94,0.22,-0.54,-6.32,7.02,2023-11-28 20:01:47
-42.00,90.00,52.00,95.00,7.00,21.69,42.69,-0.05,-0.70,-6.08,6.31,2023-11-28 20:01:47
-98.00,102.00,58.00,106.00,-3.00,23.69,42.69,-0.04,-0.65,-6.23,6.68,2023-11-28 20:01:47
-90.00,112.00,61.00,110.00,271.00,24.25,42.19,0.01,-0.30,-5.88,6.65,2023-11-28 20:01:47
-87.00,112.00,61.00,111.00,19.00,24.81,42.44,0.01,-0.15,-5.87,6.97,2023-11-28 20:01:47
-101.00,108.00,61.00,109.00,0.00,24.50,43.56,0.08,0.25,-5.76,6.24,2023-11-28 20:01:47
-91.00,90.00,57.00,102.00,140.00,23.94,44.75,-0.20,0.43,-5.91,5.57,2023-11-28 20:01:47
-93.00,80.00,52.00,93.00,9.00,22.50,44.69,0.39,0.37,-5.70,5.92,2023-11-28 20:01:47
-101.00,42.00,41.00,68.00,-21.00,21.50,41.88,0.07,0.13,-5.91,6.41,2023-11-28 20:01:47
-90.00,32.00,34.00,52.00,-6.00,21.44,39.25,0.16,-0.32,-5.83,7.82,2023-11-28 20:01:47
-92.00,30.00,33.00,47.00,0.00,22.37,37.88,-0.02,-0.87,-5.52,7.72,2023-11-28 20:01:47
-100.00,49.00,37.00,56.00,67.00,26.12,37.19,-0.69,-1.52,-5.30,7.56,2023-11-28 20:01:47
-92.00,69.00,44.00,70.00,-2.00,30.69,36.25,-0.70,-1.53,-5.09,6.69,2023-11-28 20:01:47
-101.00,80.00,49.00,86.00,-23.00,34.25,35.00,-0.29,-1.34,-4.81,6.41,2023-11-28 20:01:47
41.00,81.00,52.00,89.00,212.00,36.81,32.44,-0.53,-0.95,-3.88,5.43,2023-11-28 20:01:48
-65.00,88.00,52.00,91.00,9.00,39.13,30.31,-0.12,-0.52,-3.54,6.30,2023-11-28 20:01:48
-86.00,89.00,53.00,96.00,-28.00,39.88,29.50,-0.04,-0.03,-3.31,6.74,2023-11-28 20:01:48
-81.00,95.00,52.00,99.00,36.00,39.81,30.00,0.01,0.17,-3.58,6.23,2023-11-28 20:01:48
-14.00,81.00,48.00,91.00,7.00,37.88,31.81,0.73,1.10,-3.51,6.07,2023-11-28 20:01:48
-66.00,72.00,44.00,79.00,-36.00,31.81,34.75,1.92,1.86,-5.14,6.68,2023-11-28 20:01:48
-74.00,59.00,36.00,59.00,69.00,25.00,37.75,0.81,1.84,-5.26,7.19,2023-11-28 20:01:48
-91.00,37.00,32.00,46.00,-32.00,18.00,39.81,1.11,1.60,-6.19,7.43,2023-11-28 20:01:48
-101.00,31.00,30.00,40.00,1.00,12.69,41.63,1.01,1.62,-6.40,7.63,2023-11-28 20:01:48
-88.00,58.00,37.00,47.00,-2.00,6.62,44.13,0.98,1.39,-6.80,7.26,2023-11-28 20:01:48
-92.00,93.00,49.00,71.00,7.00,1.75,46.31,1.07,1.33,-7.19,7.05,2023-11-28 20:01:48
-101.00,97.00,57.00,93.00,-2.00,-2.12,48.81,0.86,0.71,-7.61,7.09,2023-11-28 20:01:48
-90.00,102.00,58.00,102.00,251.00,-3.37,50.31,-0.00,0.08,-7.73,6.41,2023-11-28 20:01:48
-91.00,103.00,57.00,102.00,16.00,-2.50,50.25,-0.16,-0.36,-7.11,5.94,2023-11-28 20:01:48
-100.00,103.00,57.00,104.00,44.00,-1.00,50.38,-0.40,-0.42,-7.50,6.21,2023-11-28 20:01:48
-90.00,81.00,54.00,100.00,7.00,1.62,50.00,-0.96,-0.91,-7.19,6.23,2023-11-28 20:01:48
41.00,82.00,50.00,92.00,-34.00,8.19,49.06,-1.29,-1.94,-7.41,5.86,2023-11-28 20:01:48
37.00,54.00,42.00,74.00,230.00,14.75,45.94,-1.91,-1.58,-5.94,6.40,2023-11-28 20:01:48
-14.00,30.00,35.00,54.00,-3.00,21.50,41.88,-1.11,-1.62,-5.95,7.54,2023-11-28 20:01:49
-67.00,25.00,33.00,48.00,-35.00,26.56,38.94,-0.85,-1.39,-4.98,7.26,2023-11-28 20:01:49
-97.00,41.00,36.00,50.00,1.00,30.19,37.38,-0.27,-0.85,-4.83,6.98,2023-11-28 20:01:49
10.00,67.00,45.00,64.00,-1.00,31.62,37.31,-0.41,-0.29,-4.86,6.66,2023-11-28 20:01:49
-85.00,96.00,52.00,80.00,-33.00,32.63,37.88,0.07,-0.21,-5.01,6.37,2023-11-28 20:01:49
-95.00,96.00,57.00,93.00,265.00,32.56,37.81,0.25,-0.11,-4.64,6.18,2023-11-28 20:01:49
-93.00,93.00,58.00,97.00,9.00,32.00,36.63,0.45,-0.03,-4.80,6.49,2023-11-28 20:01:49
-101.00,88.00,57.00,96.00,1.00,29.81,35.13,0.86,0.14,-4.81,7.74,2023-11-28 20:01:49
-91.00,84.00,56.00,93.00,107.00,28.00,34.69,0.54,0.32,-4.53,7.33,2023-11-28 20:01:49
-91.00,75.00,51.00,87.00,10.00,25.12,36.19,0.72,0.64,-4.61,7.36,2023-11-28 20:01:49
-99.00,69.00,44.00,73.00,-40.00,21.94,38.31,0.99,1.23,-6.23,6.64,2023-11-28 20:01:49
-95.00,50.00,34.00,52.00,259.00,14.31,40.31,1.66,1.87,-6.34,7.61,2023-11-28 20:01:49
-86.00,37.00,28.00,41.00,-7.00,8.94,41.69,1.11,1.25,-6.37,7.49,2023-11-28 20:01:49
-100.00,33.00,26.00,38.00,-53.00,4.06,43.19,0.86,1.16,-6.83,7.33,2023-11-28 20:01:49
-6.00,54.00,33.00,46.00,22.00,-0.88,44.75,1.02,1.17,-6.96,7.20,2023-11-28 20:01:49
-64.00,100.00,51.00,73.00,5.00,-4.00,46.38,0.40,0.77,-7.17,7.08,2023-11-28 20:01:49
-90.00,112.00,58.00,89.00,27.00,-5.87,48.38,0.37,0.43,-7.14,6.26,2023-11-28 20:01:49
-45.00,124.00,61.00,98.00,-1.00,-6.62,49.19,0.07,0.07,-7.71,6.44,2023-11-28 20:01:49
-55.00,121.00,61.00,101.00,29.00,-6.00,49.25,-0.34,-0.29,-7.02,6.62,2023-11-28 20:01:50
-94.00,105.00,58.00,101.00,-10.00,-4.25,49.56,-0.58,-0.56,-7.29,6.35,2023-11-28 20:01:50
-25.00,96.00,56.00,95.00,118.00,-0.13,49.31,-1.31,-0.99,-6.98,5.84,2023-11-28 20:01:50
-84.00,89.00,50.00,87.00,4.00,5.00,48.44,-1.38,-1.44,-6.02,6.18,2023-11-28 20:01:50
-82.00,59.00,39.00,68.00,-7.00,12.19,45.56,-1.53,-1.28,-6.85,6.52,2023-11-28 20:01:50
-26.00,41.00,32.00,50.00,-6.00,19.44,42.25,-1.55,-1.50,-6.16,6.95,2023-11-28 20:01:50
-81.00,34.00,30.00,46.00,1.00,24.31,39.00,-0.75,-1.17,-5.01,6.62,2023-11-28 20:01:50
