FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp,action,Hand_Health
-102.0,-58.0,-96.0,19.0,-76.0,6.31,10.0,0.02,0.01,-1.46,9.84,2023-11-28 18:14:54,2,0
-96.0,-57.0,-96.0,26.0,86.0,6.25,11.19,-0.07,0.09,-1.88,9.58,2023-11-28 18:14:54,2,0
-101.0,-57.0,-95.0,35.0,-2.0,6.31,12.44,0.03,0.13,-2.19,9.36,2023-11-28 18:14:55,2,0
-102.0,-58.0,-96.0,51.0,-42.0,5.81,14.0,0.17,-0.03,-2.25,9.69,2023-11-28 18:14:55,2,0
-7.0,30.0,29.0,68.0,31.0,5.44,15.88,0.14,-0.02,-2.48,9.8,2023-11-28 18:14:55,2,0
-56.0,44.0,37.0,76.0,-71.0,4.75,18.69,0.38,-0.09,-2.97,9.69,2023-11-28 18:14:55,2,0
-36.0,68.0,44.0,85.0,17.0,3.56,22.56,0.36,-0.04,-3.94,8.8,2023-11-28 18:14:55,2,0
8.0,70.0,49.0,86.0,88.0,2.56,25.19,0.42,0.04,-4.43,9.09,2023-11-28 18:14:55,2,0
-3.0,111.0,53.0,88.0,10.0,0.38,27.31,0.81,0.23,-4.4,9.12,2023-11-28 18:14:55,2,0
-47.0,151.0,60.0,88.0,-49.0,-2.19,29.25,0.93,0.26,-4.75,8.67,2023-11-28 18:14:55,2,0
-2.0,133.0,64.0,87.0,54.0,-5.37,31.37,1.11,0.19,-5.33,8.27,2023-11-28 18:14:55,2,0
-61.0,132.0,66.0,86.0,-71.0,-8.81,33.25,1.05,0.36,-5.4,8.18,2023-11-28 18:14:55,2,0
92.0,172.0,65.0,89.0,463.0,-12.81,34.75,1.84,0.67,-6.08,8.16,2023-11-28 18:14:55,2,0
-12.0,244.0,64.0,80.0,-3.0,-20.87,36.13,2.64,0.63,-5.54,7.45,2023-11-28 18:14:55,2,0
-40.0,167.0,64.0,87.0,-25.0,-27.31,37.5,2.19,0.63,-5.3,6.79,2023-11-28 18:14:55,2,0
230.0,173.0,66.0,83.0,352.0,-34.19,39.5,2.51,0.62,-5.33,5.9,2023-11-28 18:14:55,2,0
-8.0,155.0,66.0,78.0,-23.0,-42.31,42.25,3.44,1.02,-4.97,5.27,2023-11-28 18:14:55,2,0
-31.0,136.0,65.0,82.0,-27.0,-52.94,47.63,3.16,1.2,-4.8,3.78,2023-11-28 18:14:55,2,0
0.0,140.0,66.0,86.0,72.0,-60.88,54.06,2.96,1.29,-3.81,2.24,2023-11-28 18:14:55,2,0
-5.0,135.0,65.0,88.0,3.0,-70.19,69.75,3.21,1.58,-3.75,0.74,2023-11-28 18:14:55,2,0
-16.0,106.0,67.0,87.0,8.0,-75.69,97.75,2.49,1.17,-2.19,-0.8,2023-11-28 18:14:56,2,0
38.0,123.0,66.0,92.0,-13.0,-75.69,129.69,2.68,1.12,-1.88,-1.78,2023-11-28 18:14:56,2,0
-15.0,122.0,68.0,95.0,-56.0,-71.5,154.62,2.05,0.79,-1.36,-3.12,2023-11-28 18:14:56,2,0
5.0,122.0,68.0,99.0,46.0,-66.75,166.06,2.15,0.88,-1.09,-3.7,2023-11-28 18:14:56,2,0
-14.0,125.0,60.0,94.0,-29.0,-60.56,175.0,1.96,0.81,-0.26,-5.01,2023-11-28 18:14:56,2,0
-14.0,110.0,67.0,94.0,-5.0,-55.25,179.69,1.84,0.69,0.03,-5.81,2023-11-28 18:14:56,2,0
16.0,105.0,64.0,98.0,55.0,-49.88,-176.56,1.47,0.57,0.03,-6.58,2023-11-28 18:14:56,2,0
99.0,135.0,66.0,101.0,242.0,-46.5,-174.69,0.98,0.3,0.62,-7.19,2023-11-28 18:14:56,2,0
-15.0,144.0,68.0,102.0,19.0,-44.75,-174.19,0.29,-0.12,0.38,-6.82,2023-11-28 18:14:56,2,0
23.0,145.0,64.0,95.0,114.0,-45.0,-174.62,-0.28,-0.09,0.52,-7.75,2023-11-28 18:14:56,2,0
-19.0,109.0,63.0,91.0,-21.0,-46.63,-175.44,-0.89,-0.27,0.67,-6.9,2023-11-28 18:14:56,2,0
-44.0,134.0,63.0,85.0,-33.0,-51.0,-177.44,-1.41,-0.5,-0.08,-6.01,2023-11-28 18:14:56,2,0
106.0,130.0,64.0,83.0,329.0,-55.56,-178.94,-2.1,-0.67,0.64,-5.64,2023-11-28 18:14:56,2,0
-32.0,109.0,61.0,78.0,-3.0,-64.94,172.31,-3.1,-1.96,-0.46,-4.46,2023-11-28 18:14:56,2,0
-41.0,106.0,61.0,78.0,-67.0,-72.12,150.5,-3.83,-2.29,-0.41,-3.4,2023-11-28 18:14:56,2,0
-43.0,116.0,60.0,76.0,40.0,-72.87,110.94,-2.2,-1.98,-2.79,-1.25,2023-11-28 18:14:56,2,0
-21.0,107.0,60.0,75.0,-6.0,-69.87,90.31,-2.47,-1.33,-3.55,-0.33,2023-11-28 18:14:56,2,0
-38.0,105.0,61.0,76.0,-71.0,-66.0,72.69,-1.88,-0.51,-3.91,1.25,2023-11-28 18:14:56,2,0
10.0,103.0,59.0,74.0,472.0,-60.88,60.0,-2.91,-0.95,-4.07,2.02,2023-11-28 18:14:57,2,0
-12.0,99.0,56.0,73.0,-20.0,-53.69,51.44,-2.45,-1.28,-4.31,3.59,2023-11-28 18:14:57,2,0
-17.0,113.0,56.0,79.0,0.0,-45.56,46.75,-2.54,-1.29,-5.21,4.43,2023-11-28 18:14:57,2,0
-14.0,108.0,51.0,78.0,57.0,-37.63,41.44,-3.02,-0.83,-5.01,5.67,2023-11-28 18:14:57,2,0
-10.0,120.0,47.0,69.0,17.0,-30.62,35.69,-1.65,-0.4,-4.99,6.33,2023-11-28 18:14:57,2,0
-15.0,70.0,33.0,48.0,-65.0,-26.44,30.44,-1.93,0.01,-4.14,7.91,2023-11-28 18:14:57,2,0
-106.0,-58.0,-96.0,35.0,487.0,-22.44,25.62,-1.02,-0.02,-3.65,9.01,2023-11-28 18:14:57,2,0
-106.0,-58.0,-95.0,26.0,2.0,-18.5,23.94,-1.3,-0.14,-3.82,8.53,2023-11-28 18:14:57,2,0
