FLex_Sensor1,FLex_Sensor2,FLex_Sensor3,FLex_Sensor4,FLex_Sensor5,Orient_Y,Orient_Z,Gyro_Y,Gyro_Z,Accel_Y,Accel_Z,timestamp
-97.00,24.00,23.00,37.00,-15.00,-1.75,19.75,0.04,-0.01,-3.24,9.34,2023-11-28 20:16:46
-79.00,30.00,23.00,41.00,85.00,-1.81,19.94,0.02,-0.02,-3.23,9.24,2023-11-28 20:16:46
-84.00,28.00,24.00,46.00,-2.00,-1.87,20.06,0.02,-0.02,-3.31,9.18,2023-11-28 20:16:46
-97.00,31.00,25.00,49.00,-7.00,-1.87,20.19,-0.01,-0.03,-3.31,9.22,2023-11-28 20:16:46
-82.00,30.00,26.00,49.00,-4.00,-1.87,20.19,0.03,0.01,-3.35,9.34,2023-11-28 20:16:46
-94.00,31.00,27.00,51.00,-40.00,-2.19,20.12,0.17,0.04,-3.28,9.29,2023-11-28 20:16:46
-93.00,31.00,26.00,51.00,173.00,-2.69,20.37,0.15,0.00,-3.35,9.32,2023-11-28 20:16:46
-84.00,29.00,26.00,48.00,-3.00,-3.00,20.62,0.06,-0.03,-3.32,9.15,2023-11-28 20:16:46
-91.00,32.00,28.00,51.00,-38.00,-3.12,20.94,0.04,-0.05,-3.46,9.22,2023-11-28 20:16:46
-97.00,42.00,32.00,58.00,23.00,-3.06,21.12,-0.00,-0.09,-3.37,9.08,2023-11-28 20:16:47
-75.00,63.00,38.00,72.00,0.00,-2.44,21.37,-0.31,-0.25,-3.51,9.31,2023-11-28 20:16:47
-81.00,66.00,44.00,87.00,15.00,-0.44,21.56,-0.96,-0.49,-3.57,9.20,2023-11-28 20:16:47
-97.00,72.00,48.00,94.00,14.00,3.06,21.50,-0.93,-0.39,-3.51,9.17,2023-11-28 20:16:47
-82.00,72.00,47.00,98.00,5.00,5.25,21.50,-0.29,-0.11,-3.33,9.09,2023-11-28 20:16:47
-97.00,68.00,43.00,88.00,-22.00,4.87,21.56,0.38,0.34,-3.55,9.08,2023-11-28 20:16:47
-74.00,58.00,36.00,68.00,23.00,2.62,21.37,0.81,0.41,-3.46,9.24,2023-11-28 20:16:47
-84.00,46.00,30.00,48.00,2.00,-0.94,22.25,2.10,0.65,-3.52,8.93,2023-11-28 20:16:47
-97.00,44.00,27.00,37.00,-21.00,-9.88,25.12,2.73,0.93,-4.23,9.15,2023-11-28 20:16:47
-89.00,41.00,26.00,36.00,118.00,-16.94,27.81,2.08,0.62,-4.30,8.44,2023-11-28 20:16:47
-86.00,43.00,31.00,40.00,-4.00,-22.19,30.56,1.01,0.33,-4.48,7.83,2023-11-28 20:16:47
-96.00,58.00,42.00,59.00,4.00,-23.19,32.06,-0.20,-0.09,-4.65,7.49,2023-11-28 20:16:47
-79.00,71.00,45.00,69.00,5.00,-21.75,32.50,-0.57,-0.29,-4.96,7.65,2023-11-28 20:16:47
-87.00,73.00,44.00,69.00,-27.00,-19.37,32.00,-0.72,-0.37,-4.91,7.89,2023-11-28 20:16:47
-82.00,69.00,40.00,60.00,184.00,-15.63,30.50,-1.17,-0.65,-4.79,8.10,2023-11-28 20:16:47
-83.00,62.00,34.00,48.00,-5.00,-11.56,28.25,-1.39,-0.56,-4.47,8.39,2023-11-28 20:16:47
-94.00,53.00,30.00,41.00,-41.00,-6.69,25.75,-1.29,-0.61,-4.18,8.83,2023-11-28 20:16:47
-95.00,46.00,28.00,39.00,91.00,-2.87,23.62,-1.19,-0.56,-3.83,9.10,2023-11-28 20:16:47
-84.00,47.00,28.00,39.00,-8.00,0.25,21.56,-0.56,-0.20,-3.34,9.35,2023-11-28 20:16:48
-87.00,59.00,36.00,51.00,-31.00,0.94,21.25,-0.09,-0.06,-3.33,9.29,2023-11-28 20:16:48
-94.00,70.00,40.00,63.00,199.00,0.88,21.19,0.07,0.05,-3.38,9.58,2023-11-28 20:16:48
-82.00,79.00,42.00,68.00,0.00,0.31,21.50,0.43,0.25,-3.42,9.28,2023-11-28 20:16:48
-97.00,77.00,39.00,61.00,-33.00,-2.75,22.81,1.33,0.53,-3.74,9.29,2023-11-28 20:16:48
-78.00,72.00,35.00,50.00,-6.00,-8.44,24.69,1.84,0.55,-4.04,8.82,2023-11-28 20:16:48
-86.00,58.00,31.00,41.00,3.00,-14.75,26.56,2.37,0.68,-4.00,8.42,2023-11-28 20:16:48
